Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if False then 1 else 4),4,2,216.01,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if True then 4 else 1),4,2,216.01,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if True then 4 else 1),4,2,216.01,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if True then 4 else 1),4,2,216.01,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,(if False then 1 else 4),4,2,216.01,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
{ x:Integer where ((==[??] ((% x) 4)) 0) },Multiple of 4,4,1,1,102.0,4
